smiles,quantum_yield
CC(=O)N1CCN(c2ccc(/N=N\c3ccc(-c4ccccc4)cc3)cc2)CC1,0.5161818181818183
CCOc1ccc(/N=N\c2ccc(-c3cn(-c4ccc5cc6ccccc6cc5c4)nn3)cc2)cc1,0.5617300000000001
Fc1ccc(/N=N\c2ccc(F)cc2F)c(F)c1,0.4833763440860213
COc1ccc(/N=N/c2ccc(N(C)Cc3ccccn3)cc2)cc1,0.0
O=C(O)c1cc(N2CCOCC2)ccc1/N=N/c1ccc(N2CCOCC2)cc1C(=O)O,0.418
CC[N+](CC)(CC)CC(=O)Nc1ccc(/N=N\c2ccc(NC(=O)C[N+](CC)(CC)CC)cc2Cl)c(Cl)c1,0.5843020833333333
CCN(c1ccccc1)c1cc(NC(C)=O)c(/N=N\c2c(NC(C)=O)cc(N(CC)c3ccccc3)cc2NC(C)=O)c(NC(C)=O)c1,0.5261443298969072
CC(=O)N1CC2CN(c3cc(F)c(/N=N/c4c(F)cc(N5CC6CN(C(C)=O)CC6C5)cc4F)c(F)c3)CC2C1,0.0
CCOC(=O)c1cc(NC(=O)CCl)ccc1/N=N/c1ccc(NC(=O)CCl)cc1C(=O)OCC,0.0
CC(=O)Oc1cc(NCc2ccccn2)ccc1/N=N/c1ccc(NCc2ccccn2)cc1OC(C)=O,0.5050563380281691
COc1ccc(/N=N\c2ccc(N(C)Cc3ccccn3)cc2)cc1,0.5865699999999999
C#Cc1cc(C(N)=O)ccc1/N=N\c1ccc(C(N)=O)cc1C#C,0.61974
O=C(O)c1cc(N2CCN(C(=O)CCl)CC2)ccc1/N=N/c1ccc(N2CCN(C(=O)CCl)CC2)cc1C(=O)O,0.0
Cc1cc(C(=O)C(F)(F)F)cc(C)c1/N=N/c1c(C)cc(C(=O)C(F)(F)F)cc1C,0.1955833333333333
CCOc1ccc(/N=N\c2ccc(OCC)cc2NCc2ccccn2)c(NCc2ccccn2)c1,0.47138
Cc1cc(NCc2ccccn2)cc(C)c1/N=N\c1c(C)cc(NCc2ccccn2)cc1C,0.5498800000000001
CCc1cc([N+](C)(C)C)ccc1/N=N/c1ccc([N+](C)(C)C)cc1CC,0.0
CCc1ccc(/N=N\c2ccc(CC)cc2N(CC)CC)c(N(CC)CC)c1,0.5403877551020408
OCc1cc(F)ccc1/N=N\c1ccc(F)cc1CO,0.6651578947368421
O=C(O)c1ccc(/N=N\c2ccc(OCc3cc(OCc4ccccc4)cc(OCc4ccccc4)c3)cc2)cc1,0.52977
COc1ccc(/N=N\c2ccc(C(C)C)cc2)cc1,0.6019693877551019
O=C(c1ccc(/N=N/c2ccc(-c3ccccc3)cc2)cc1)C(F)(F)F,0.3217966101694914
CC(C)c1cccc(N)c1Oc1cc(NC(=O)CN2C(=O)C=CC2=O)ccc1/N=N/c1ccc(NC(=O)CN2C(=O)C=CC2=O)cc1Oc1c(N)cccc1C(C)C,0.0
O=[N+]([O-])c1ccc(/N=N\c2ccc(O)cc2)cc1,0.54192
CCN(Cc1ccccc1)c1cc(OC(C)=O)ccc1/N=N/c1ccc(OC(C)=O)cc1N(CC)Cc1ccccc1,0.3034333333333333
CC(C)Cc1cccc(N)c1Oc1cc(O)c(/N=N/c2c(O)cc(Oc3c(N)cccc3CC(C)C)cc2O)c(O)c1,0.2961176470588235
C#Cc1cc(C(=O)C(F)(F)F)c(/N=N/c2c(C(=O)C(F)(F)F)cc(C#C)cc2C(=O)C(F)(F)F)c(C(=O)C(F)(F)F)c1,0.0
CC(=O)N1CC2CN(c3ccccc3/N=N/c3ccccc3N3CC4CN(C(C)=O)CC4C3)CC2C1,0.2726363636363636
CC(C)c1cc(C(=O)O)cc(C(C)C)c1/N=N/c1c(C(C)C)cc(C(=O)O)cc1C(C)C,0.3212153846153846
CCN(c1ccccc1)c1cc(NC(C)=O)c(/N=N/c2c(NC(C)=O)cc(N(CC)c3ccccc3)cc2NC(C)=O)c(NC(C)=O)c1,0.1641318681318681
CC(=O)Nc1ccc(/N=N/c2ccc(NC(C)=O)cc2F)c(F)c1,0.0
CC(C)(C)c1cc(OCc2ccccc2)ccc1/N=N\c1ccc(OCc2ccccc2)cc1C(C)(C)C,0.52066
CC(=O)N1CCN(c2ccc(/N=N/c3ccc(N4CCN(C(C)=O)CC4)cc3C(C)C)c(C(C)C)c2)CC1,0.2715454545454545
Cc1ccc(/N=N\c2ccc(C)cc2C(=O)C(F)(F)F)c(C(=O)C(F)(F)F)c1,0.5901600000000001
O=C(c1cc(N2CCOCC2)ccc1/N=N\c1ccc(N2CCOCC2)cc1C(=O)C(F)(F)F)C(F)(F)F,0.46108
CCOC(=O)c1ccc(/N=N\c2ccc(O)cc2)cc1,0.5092142857142857
